"Nombre","CodigoBarra","Categoria","FechaCaducidad","Marca","Precio","Stock"
"Sopa de Tomate","2000000000001","Conservas","2028-05-12","Maggi","13.50","180"
"Crema de Leche","2000000000002","Lacteos","2026-04-20","Parmalat","19.25","95"
"Pan de Molde","2000000000003","Panaderia","2026-01-08","Ideal","11.00","120"
"Te Verde","2000000000004","Bebidas","2028-11-15","Lipton","22.75","200"
"Lentejas","2000000000005","Granos","2027-08-30","La Sierra","9.10","310"
"Crema Dental","2000000000006","Higiene","2028-06-03","Colgate","27.50","140"
"Salsa de Tomate","2000000000007","Condimentos","2027-03-25","Heinz","18.40","160"
"Salmon Ahumado","2000000000008","Conservas","2027-10-11","Nixe","72.00","45"
"Aceite de Coco","2000000000009","Abarrotes","2028-07-19","Natco","95.50","50"
"Papel Higienico","2000000000010","Limpieza","2030-01-01","Scott","38.00","250"
"Brocoli","2000000000011","Verduras","2026-02-14","Del Monte","7.25","280"
"Papas Fritas","2000000000012","Snacks","2026-09-22","Lays","21.00","220"
"Queso Manchego","2000000000013","Lacteos","2026-06-18","La Vache","42.90","60"
"Jabon en Barra","2000000000014","Higiene","2029-04-05","Palmolive","12.75","300"
"Avena en Hojuelas","2000000000015","Granos","2027-05-09","Quaker","16.30","175"
"Refresco de Lima","2000000000016","Bebidas","2027-01-28","Pepsi","8.50","400"
"Crema Pastelera","2000000000017","Panaderia","2026-08-07","Bimbo","14.20","70"
"Macarrones","2000000000018","Abarrotes","2028-03-16","Barilla","10.60","190"
"Pepino","2000000000019","Verduras","2026-03-01","Naturas","4.25","320"
"Mani Tostado","2000000000020","Snacks","2027-07-14","Planters","17.80","130"
"Harina de Maiz","2000000000021","Abarrotes","2027-12-20","Maseca","13.90","160"
"Pimienta Negra","2000000000022","Condimentos","2029-08-25","McCormick","11.50","185"
"Helado de Vainilla","2000000000023","Congelados","2026-11-30","Breyers","55.00","65"
"Mango","2000000000024","Frutas","2026-02-05","Dole","5.75","260"
"Vino Tinto","2000000000025","Bebidas","2030-06-15","Santa Rita","145.00","35"
"Nuggets de Pollo","2000000000026","Congelados","2026-07-22","Findus","78.50","80"
"Leche de Almendra","2000000000027","Lacteos","2026-09-10","Alpro","34.00","90"
"Vinagre Blanco","2000000000028","Condimentos","2029-11-03","Goya","9.80","200"
"Espinaca","2000000000029","Verduras","2026-01-25","Del Monte","6.10","300"
"Granola con Miel","2000000000030","Granos","2027-04-17","Kelloggs","29.50","110"
"Suavizante de Telas","2000000000031","Limpieza","2028-09-08","Downy","47.00","100"
"Limon","2000000000032","Frutas","2026-02-28","Naturas","2.90","450"
"Brownie Congelado","2000000000033","Congelados","2026-12-19","Betty Crocker","62.00","55"
"Mostaza Amarilla","2000000000034","Condimentos","2028-04-14","French's","14.60","170"
"Mantequilla de Mani","2000000000035","Abarrotes","2028-10-06","Jif","38.75","95"
